dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-01-17,ABC3503,SP,Produto X,SITE,REGULAR,124.9,5,30,0,23,0,7,232,0
2023-03-06,ABC3503,SP,Produto X,SITE,REGULAR,124.9,4,23,0,20,0,3,531,0
2023-05-25,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,5,15,0,12,0,3,94,0
2023-03-27,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,1,21,0,18,0,3,109,0
2023-03-07,ABC3503,SP,Produto X,SITE,REGULAR,124.9,1,23,0,20,0,3,520,0
2023-05-07,ABC3503,SP,Produto X,SITE,REGULAR,115.0,0,29,0,23,0,6,510,0
2023-07-13,ABC3503,SP,Produto X,SITE,PROMOCAO,117.9,17,21,1,18,0,4,178,0
2023-05-11,ABC3503,SP,Produto X,SITE,REGULAR,124.035.882.353,17,29,0,23,0,6,433,0
2023-04-16,ABC3503,SP,Produto Z,SITE,REGULAR,264.0,0,21,0,17,0,4,88,0
2023-01-25,ABC3503,SP,Produto Z,SITE,REGULAR,188.257.142.857,21,22,0,19,0,3,0,1
2023-01-18,ABC3503,SP,Produto X,SITE,REGULAR,124.9,3,30,0,23,0,7,228,0
2023-01-09,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,2,27,2,21,1,7,31,0
2023-04-19,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,2,27,0,21,0,6,82,0
2023-02-13,ABC3503,SP,Produto X,SITE,REGULAR,113.9,1,23,0,20,0,3,210,0
2023-07-21,ABC3503,SP,Produto Z,SITE,REGULAR,279.9,2,22,0,18,0,4,98,0
2023-07-24,ABC3503,SP,Produto X,SITE,PROMOCAO,117.9,6,21,1,18,0,4,0,1
2023-06-02,ABC3503,SP,Produto X,SITE,PROMOCAO,107.745,6,14,2,12,1,3,80,0
2023-03-14,ABC3503,SP,Produto X,SITE,REGULAR,124.9,1,22,0,19,0,3,464,0
2023-03-18,ABC3503,SP,Produto X,SITE,REGULAR,124.9,1,22,0,19,0,3,423,0
